number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,0,C4j0XpJOZTf_2024-03-16_03-14-34_UTC_2.jpg,kudostobaby,image
1,0,0,0,0,C4j0XpJOZTf_2024-03-16_03-14-34_UTC_1.jpg,kudostobaby,image
1,0,0,0,0,C4j0XpJOZTf_2024-03-16_03-14-34_UTC_3.jpg,kudostobaby,image
1,0,0,0,0,DBWJz_xRP2Y_2024-10-20_12-36-18_UTC.jpg,kudostobaby,image
1,0,0,0,0,C5ScOZMurNa_2024-04-03_05-47-54_UTC_1.jpg,kudostobaby,image
1,0,0,0,0,C5ScOZMurNa_2024-04-03_05-47-54_UTC_2.jpg,kudostobaby,image
3911,589,0,1040,1257,DBWJz_xRP2Y_2024-10-20_12-36-18_UTC_1.mp4,kudostobaby,video
